CO,NO2,O3,PM10,PM2.5,SO2,label
0.75,32.0,28.0,31.0,21.0,7.2,0
0.77,34.0,27.0,33.0,25.0,12.0,0
0.86,33.0,28.0,44.0,31.0,4.1,0
0.79,30.0,29.0,50.0,31.0,3.0,0
0.85,32.0,26.0,48.0,28.0,2.5,0
0.96,37.0,19.0,48.0,28.0,2.7,0
0.88,34.0,23.0,53.0,31.0,2.8,1
0.65,22.0,33.0,55.0,31.0,2.7,1
0.59,20.0,35.0,56.0,30.0,1.7,1
0.52,14.0,41.0,56.0,25.0,1.5,1
0.49,12.0,44.0,54.0,27.0,1.6,1
0.49,11.0,46.0,59.0,30.0,1.6,1
0.54,10.0,49.0,66.0,33.0,1.5,1
0.6,12.0,46.0,73.0,42.0,1.5,1
0.73,19.0,39.0,82.0,51.0,1.7,1
0.88,21.0,38.0,89.0,61.0,1.8,1
1.05,28.0,33.0,99.0,64.0,1.9,1
0.86,21.0,42.0,98.0,57.0,2.1,1
0.86,21.0,47.0,94.0,55.0,0.3,1
0.84,20.0,58.0,104.0,55.0,0.5,2
0.81,18.0,62.0,103.0,51.0,4.8,2
0.73,18.0,60.0,89.0,43.0,7.0,1
0.75,19.0,56.0,83.0,38.0,7.3,1
0.74,19.0,54.0,84.0,38.0,4.7,1
0.8,25.0,45.0,83.0,36.0,4.4,1
0.72,23.0,47.0,79.0,31.0,7.6,1
0.9,34.0,35.0,81.0,31.0,4.1,1
0.76,25.0,42.0,93.0,35.0,3.2,1
0.72,23.0,43.0,95.0,39.0,3.0,1
0.72,19.0,45.0,95.0,38.0,2.9,1
0.82,25.0,37.0,99.0,41.0,2.8,1
0.74,18.0,42.0,97.0,43.0,2.6,1
0.65,12.0,47.0,92.0,41.0,2.1,1
0.57,8.5,51.0,92.0,38.0,2.2,1
0.52,8.2,52.0,104.0,40.0,2.3,2
0.47,5.5,54.0,115.0,41.0,2.4,2
0.41,5.6,53.0,120.0,39.0,2.6,2
0.41,7.6,50.0,122.0,36.0,2.8,2
0.45,11.0,48.0,126.0,36.0,3.0,2
0.54,13.0,47.0,128.0,41.0,2.9,2
0.56,12.0,50.0,125.0,46.0,3.3,2
0.5,11.0,51.0,119.0,46.0,3.4,2
0.58,14.0,47.0,123.0,43.0,3.5,2
0.62,15.0,47.0,141.0,37.0,3.3,2
0.55,12.0,52.0,141.0,40.0,3.2,2
0.54,11.0,54.0,133.0,41.0,3.1,2
0.56,13.0,49.0,126.0,37.0,2.7,2
0.51,13.0,45.0,101.0,36.0,2.2,2
0.51,14.0,44.0,79.0,33.0,2.3,1
0.54,15.0,44.0,79.0,30.0,2.3,1
0.54,12.0,46.0,83.0,31.0,2.5,1
0.49,13.0,44.0,79.0,30.0,2.3,1
0.46,12.0,45.0,77.0,28.0,2.1,1
0.46,12.0,43.0,71.0,25.0,2.1,1
0.44,12.0,46.0,67.0,24.0,2.3,1
0.43,9.8,55.0,75.0,31.0,2.8,1
0.43,7.1,57.0,83.0,36.0,2.7,1
0.4,5.9,59.0,86.0,33.0,2.5,1
0.36,5.0,60.0,82.0,31.0,2.4,1
0.38,4.4,63.0,88.0,31.0,2.8,1
0.44,4.7,65.0,97.0,36.0,3.4,1
0.47,5.7,63.0,97.0,37.0,3.5,1
0.49,8.3,59.0,97.0,36.0,3.4,1
0.52,11.0,54.0,99.0,41.0,3.2,1
0.44,9.5,53.0,100.0,41.0,3.4,1
0.42,11.0,47.0,84.0,33.0,2.7,1
0.39,12.0,44.0,70.0,25.0,2.1,1
0.37,10.0,44.0,65.0,24.0,1.8,1
0.34,8.1,47.0,59.0,25.0,1.6,1
0.35,9.6,45.0,59.0,24.0,1.3,1
0.33,8.3,45.0,56.0,20.0,1.1,1
0.33,8.1,44.0,55.0,21.0,1.2,1
0.35,11.0,41.0,54.0,20.0,1.2,1
0.37,13.0,38.0,50.0,20.0,1.2,0
0.36,12.0,38.0,46.0,19.0,1.0,0
0.37,13.0,36.0,44.0,20.0,1.1,0
0.33,11.0,37.0,40.0,19.0,0.9,0
0.35,13.0,35.0,38.0,16.0,1.0,0
0.36,12.0,35.0,33.0,18.0,1.1,0
0.34,11.0,37.0,32.0,17.0,1.1,0
0.32,8.8,38.0,33.0,15.0,1.1,0
0.3,8.1,38.0,29.0,13.0,1.1,0
0.28,6.6,39.0,24.0,12.0,1.1,0
0.27,6.0,39.0,27.0,11.0,1.1,0
0.26,6.2,37.0,28.0,14.0,1.2,0
0.3,8.6,34.0,29.0,14.0,1.1,0
0.39,15.0,27.0,32.0,13.0,1.5,0
0.46,19.0,26.0,32.0,15.0,1.5,0
0.67,24.0,16.0,32.0,19.0,2.1,0
0.51,17.0,23.0,33.0,21.0,2.7,0
0.44,12.0,37.0,33.0,17.0,1.9,0
0.41,9.1,46.0,32.0,14.0,1.8,0
0.39,8.8,52.0,29.0,13.0,1.7,1
0.46,12.0,57.0,38.0,22.0,2.8,1
0.3,9.3,47.0,53.0,28.0,2.7,1
0.3,10.0,42.0,55.0,23.0,2.8,1
0.52,19.0,32.0,53.0,24.0,2.5,1
0.87,35.0,17.0,62.0,28.0,2.6,1
0.94,41.0,9.9,71.0,31.0,2.4,1
1.0,41.0,7.9,67.0,31.0,2.2,1
1.11,43.0,4.8,68.0,31.0,2.4,1
0.91,36.0,2.5,76.0,37.0,2.7,1
0.82,37.0,1.1,87.0,45.0,3.3,1
0.95,37.0,0.7,95.0,52.0,3.1,1
0.92,37.0,0.5,93.0,51.0,4.2,1
0.98,32.0,0.7,92.0,51.0,3.3,1
0.69,23.0,2.0,73.0,42.0,2.5,1
0.59,19.0,3.5,49.0,28.0,2.1,0
0.71,21.0,2.0,42.0,27.0,2.2,0
0.91,24.0,0.7,53.0,32.0,2.7,1
0.91,22.0,0.8,64.0,34.0,2.6,1
0.8,21.0,2.5,59.0,31.0,2.9,1
0.6,16.0,10.0,51.0,30.0,3.4,1
0.59,17.0,22.0,44.0,25.0,3.4,0
0.55,16.0,37.0,38.0,23.0,2.7,0
0.59,15.0,51.0,39.0,26.0,2.2,1
0.44,9.0,59.0,39.0,22.0,1.8,1
0.37,6.9,62.0,38.0,22.0,2.0,1
0.36,7.6,59.0,45.0,21.0,2.4,1
0.53,18.0,45.0,46.0,24.0,2.8,0
0.54,19.0,46.0,53.0,28.0,3.6,1
0.58,18.0,62.0,65.0,32.0,4.1,1
0.67,20.0,59.0,82.0,41.0,6.0,1
0.76,25.0,47.0,95.0,52.0,7.8,1
0.85,30.0,31.0,101.0,57.0,6.9,2
0.95,35.0,17.0,110.0,67.0,8.0,2
0.92,35.0,21.0,105.0,63.0,4.8,2
1.09,41.0,11.0,99.0,58.0,4.2,1
0.89,35.0,13.0,99.0,60.0,3.3,1
1.03,36.0,4.8,95.0,59.0,2.4,1
0.93,35.0,2.8,101.0,58.0,2.5,2
0.73,19.0,9.4,93.0,52.0,2.0,1
0.42,11.0,12.0,59.0,33.0,1.3,1
0.6,19.0,10.0,59.0,31.0,2.8,1
0.65,21.0,8.4,71.0,43.0,3.0,1
0.57,18.0,19.0,62.0,38.0,2.8,1
0.44,14.0,24.0,54.0,30.0,1.8,1
0.5,16.0,20.0,49.0,27.0,1.9,0
0.52,16.0,27.0,44.0,21.0,1.9,0
0.52,15.0,34.0,38.0,17.0,2.0,0
0.51,15.0,35.0,34.0,20.0,2.0,0
0.53,16.0,34.0,32.0,18.0,3.1,0
0.51,16.0,33.0,31.0,15.0,4.5,0
0.57,22.0,26.0,29.0,15.0,6.5,0
0.78,23.0,26.0,37.0,20.0,2.3,0
0.68,25.0,23.0,39.0,20.0,2.6,0
0.7,25.0,20.0,38.0,20.0,4.7,0
0.59,19.0,26.0,42.0,22.0,1.8,0
0.58,19.0,25.0,40.0,19.0,1.6,0
0.54,18.0,26.0,40.0,17.0,1.4,0
0.52,17.0,27.0,39.0,16.0,2.2,0
0.51,17.0,25.0,40.0,17.0,4.9,0
0.42,14.0,27.0,50.0,18.0,5.0,0
0.42,13.0,27.0,50.0,19.0,4.6,0
0.39,10.0,30.0,40.0,19.0,3.0,0
0.38,8.4,30.0,34.0,13.0,2.3,0
0.4,8.2,28.0,31.0,11.0,1.9,0
0.44,12.0,20.0,32.0,15.0,2.0,0
0.47,14.0,12.0,38.0,17.0,2.0,0
0.53,15.0,8.4,43.0,21.0,3.1,0
0.79,21.0,6.7,48.0,25.0,4.4,0
0.66,17.0,23.0,54.0,24.0,3.5,1
0.7,19.0,25.0,54.0,26.0,4.6,1
0.79,26.0,14.0,68.0,39.0,6.5,1
0.73,17.0,20.0,70.0,38.0,3.8,1
0.71,17.0,19.0,51.0,27.0,3.6,1
0.62,12.0,24.0,48.0,28.0,2.8,0
0.76,18.0,18.0,49.0,29.0,2.9,0
0.79,22.0,13.0,56.0,31.0,3.3,1
0.87,25.0,7.7,64.0,32.0,2.9,1
0.9,27.0,5.9,72.0,34.0,2.7,1
0.99,31.0,1.1,78.0,36.0,3.1,1
0.96,29.0,0.7,71.0,36.0,4.0,1
1.33,30.0,0.9,87.0,42.0,5.7,1
1.26,28.0,0.8,117.0,47.0,5.2,2
0.99,25.0,0.5,106.0,46.0,4.6,2
0.87,25.0,0.6,82.0,37.0,3.6,1
0.79,25.0,0.7,64.0,32.0,3.8,1
0.77,23.0,1.2,66.0,34.0,2.7,1
0.67,19.0,6.6,68.0,32.0,2.7,1
0.31,5.9,37.0,33.0,20.0,2.0,0
0.31,9.6,32.0,9.0,8.0,1.8,0
0.39,16.0,26.0,11.0,5.0,2.0,0
0.85,29.0,14.0,11.0,5.0,2.1,0
1.22,42.0,5.0,17.0,10.0,3.2,0
0.95,32.0,13.0,22.0,16.0,4.6,0
0.91,33.0,15.0,28.0,20.0,4.5,0
0.97,35.0,30.0,38.0,24.0,4.2,0
1.04,41.0,47.0,50.0,31.0,4.4,0
0.51,20.0,46.0,48.0,26.0,4.4,0
0.42,12.0,46.0,34.0,20.0,2.8,0
0.42,13.0,42.0,34.0,20.0,2.4,0
0.53,19.0,34.0,44.0,22.0,2.8,0
0.81,36.0,16.0,54.0,25.0,4.9,1
0.95,41.0,10.0,61.0,27.0,6.6,1
1.06,43.0,7.8,59.0,25.0,4.9,1
0.82,36.0,13.0,45.0,20.0,3.4,0
0.91,38.0,8.2,40.0,15.0,2.8,0
0.93,38.0,7.3,39.0,14.0,3.7,0
0.98,38.0,5.6,32.0,13.0,3.0,0
0.9,27.0,0.8,39.0,18.0,3.9,0
0.72,22.0,0.7,49.0,26.0,5.2,0
0.63,21.0,1.3,51.0,25.0,5.9,1
0.57,21.0,1.8,53.0,24.0,6.4,1
0.62,21.0,1.1,46.0,27.0,4.0,0
0.66,21.0,0.6,48.0,29.0,3.5,0
0.71,18.0,1.0,44.0,27.0,5.7,0
1.12,21.0,2.4,42.0,25.0,4.9,0
1.2,26.0,9.9,48.0,25.0,6.1,0
0.9,28.0,16.0,59.0,28.0,6.4,1
0.61,19.0,31.0,60.0,32.0,3.9,1
0.54,19.0,32.0,61.0,31.0,3.1,1
0.48,16.0,42.0,73.0,34.0,2.7,1
0.52,19.0,37.0,81.0,41.0,3.2,1
0.6,32.0,33.0,82.0,34.0,5.0,1
0.83,37.0,13.0,55.0,29.0,6.0,1
1.07,45.0,5.7,65.0,31.0,6.6,1
1.36,46.0,2.3,83.0,36.0,5.8,1
1.73,47.0,1.0,93.0,41.0,5.8,1
2.35,49.0,1.1,97.0,46.0,5.0,1
2.19,45.0,0.7,100.0,46.0,6.4,1
1.81,41.0,0.8,104.0,45.0,8.9,2
1.48,39.0,0.7,115.0,47.0,7.6,2
1.57,35.0,0.8,116.0,47.0,7.1,2
1.24,30.0,0.6,103.0,46.0,8.3,2
1.24,31.0,0.8,95.0,43.0,9.4,1
1.22,28.0,0.7,92.0,41.0,7.3,1
1.2,27.0,0.7,81.0,40.0,7.8,1
1.54,30.0,1.0,83.0,42.0,10.0,1
1.8,31.0,1.3,79.0,44.0,6.7,1
2.16,41.0,4.5,76.0,46.0,6.6,1
1.33,40.0,7.5,90.0,52.0,5.3,1
0.56,20.0,14.0,76.0,46.0,4.5,1
0.55,22.0,14.0,59.0,36.0,3.8,1
0.57,22.0,19.0,54.0,35.0,3.3,1
0.56,21.0,19.0,43.0,26.0,2.3,0
0.61,27.0,16.0,42.0,19.0,2.1,0
0.69,32.0,11.0,48.0,20.0,2.2,0
0.64,27.0,17.0,43.0,17.0,1.7,0
0.93,35.0,7.9,38.0,15.0,1.8,0
0.97,36.0,7.4,45.0,16.0,2.0,0
1.07,39.0,3.1,45.0,15.0,2.0,0
0.75,29.0,16.0,27.0,14.0,1.7,0
0.65,26.0,18.0,11.0,9.0,1.3,0
0.68,25.0,19.0,11.0,6.0,1.3,0
0.44,16.0,29.0,9.0,7.0,1.4,0
0.35,9.8,35.0,9.0,9.0,2.0,0
0.3,8.5,36.0,11.0,6.0,3.8,0
0.27,6.9,38.0,11.0,4.0,2.5,0
0.25,5.1,38.0,11.0,4.0,2.8,0
0.26,7.0,35.0,11.0,4.0,3.9,0
0.34,11.0,29.0,12.0,4.0,2.0,0
0.33,13.0,30.0,9.0,4.0,2.7,0
0.42,17.0,25.0,13.0,7.0,5.3,0
0.44,18.0,26.0,18.0,6.0,6.7,0
0.41,15.0,30.0,17.0,6.0,4.3,0
0.43,13.0,33.0,18.0,9.0,2.6,0
0.41,11.0,37.0,23.0,10.0,2.3,0
0.45,12.0,36.0,31.0,15.0,4.1,0
0.42,11.0,38.0,34.0,17.0,4.5,0
0.51,16.0,33.0,39.0,19.0,4.3,0
0.52,18.0,31.0,42.0,19.0,3.6,0
0.55,21.0,26.0,39.0,18.0,3.2,0
0.59,22.0,23.0,35.0,19.0,3.0,0
0.44,12.0,32.0,33.0,16.0,2.0,0
0.39,11.0,33.0,22.0,9.0,1.8,0
0.49,18.0,23.0,18.0,7.0,2.2,0
0.45,15.0,25.0,20.0,11.0,2.1,0
0.45,14.0,25.0,18.0,10.0,2.0,0
0.4,14.0,25.0,17.0,6.0,1.7,0
0.32,9.9,31.0,15.0,2.0,1.6,0
0.3,8.6,31.0,16.0,4.0,1.4,0
0.27,6.5,34.0,15.0,4.0,1.5,0
0.28,7.8,32.0,9.0,4.0,1.5,0
0.28,7.1,31.0,10.0,6.0,1.4,0
0.31,9.1,31.0,11.0,4.0,1.7,0
0.33,12.0,28.0,17.0,7.0,1.8,0
0.49,17.0,23.0,23.0,15.0,2.0,0
0.62,19.0,24.0,22.0,15.0,1.8,0
0.56,16.0,30.0,17.0,12.0,2.3,0
0.5,16.0,33.0,15.0,13.0,3.0,0
0.6,20.0,34.0,26.0,17.0,2.8,0
0.43,13.0,38.0,44.0,21.0,2.3,0
0.38,12.0,34.0,44.0,20.0,2.1,0
0.45,14.0,37.0,35.0,22.0,2.4,0
0.47,18.0,35.0,39.0,26.0,3.1,0
0.45,16.0,33.0,42.0,24.0,2.5,0
0.47,16.0,32.0,37.0,20.0,2.1,0
0.47,16.0,32.0,33.0,20.0,1.7,0
0.53,20.0,25.0,32.0,19.0,2.0,0
0.67,25.0,19.0,45.0,19.0,1.9,0
0.77,28.0,13.0,51.0,24.0,2.4,1
0.61,24.0,15.0,49.0,25.0,2.7,0
0.36,11.0,30.0,43.0,18.0,1.9,0
0.32,9.6,31.0,32.0,13.0,1.2,0
0.29,9.1,29.0,27.0,11.0,1.6,0
0.22,5.9,33.0,20.0,8.0,1.5,0
0.18,3.8,36.0,10.0,3.0,1.5,0
0.23,5.3,30.0,4.0,1.0,1.4,0
0.26,6.8,26.0,6.0,4.0,1.4,0
0.32,11.0,22.0,12.0,0.0,1.3,0
0.38,14.0,19.0,11.0,0.0,1.4,0
0.43,15.0,18.0,10.0,2.0,1.5,0
0.45,15.0,19.0,10.0,5.0,1.7,0
0.51,17.0,18.0,12.0,7.0,1.9,0
0.52,17.0,20.0,17.0,9.0,1.7,0
0.52,15.0,23.0,20.0,11.0,1.8,0
0.5,14.0,24.0,23.0,11.0,1.7,0
0.49,15.0,26.0,26.0,10.0,1.7,0
0.48,15.0,25.0,23.0,9.0,1.7,0
0.49,16.0,23.0,21.0,12.0,1.6,0
0.49,16.0,25.0,23.0,12.0,1.6,0
0.56,21.0,20.0,29.0,12.0,1.7,0
0.58,23.0,18.0,37.0,15.0,1.6,0
0.58,23.0,17.0,43.0,19.0,1.7,0
0.58,24.0,18.0,46.0,16.0,2.1,0
0.51,20.0,23.0,43.0,15.0,2.8,0
0.4,14.0,29.0,37.0,18.0,1.9,0
0.35,8.6,33.0,35.0,20.0,1.9,0
0.35,6.9,34.0,45.0,25.0,2.0,0
0.34,5.4,36.0,51.0,30.0,1.8,1
0.33,4.8,40.0,53.0,30.0,1.7,1
0.37,5.1,40.0,55.0,31.0,1.5,1
0.38,7.7,35.0,56.0,34.0,1.4,1
0.46,15.0,29.0,61.0,33.0,1.9,1
0.78,24.0,20.0,67.0,35.0,1.9,1
0.9,28.0,16.0,65.0,35.0,1.9,1
0.72,27.0,16.0,57.0,31.0,1.7,1
0.6,22.0,22.0,50.0,27.0,1.7,0
0.67,25.0,19.0,51.0,31.0,2.1,1
0.73,30.0,14.0,57.0,33.0,2.7,1
0.75,30.0,14.0,64.0,33.0,2.9,1
0.87,34.0,9.1,64.0,34.0,2.7,1
1.1,37.0,5.4,57.0,35.0,3.6,1
1.32,39.0,3.8,56.0,33.0,3.3,1
1.42,41.0,1.7,57.0,31.0,3.4,1
1.48,40.0,1.7,56.0,30.0,4.0,1
2.01,40.0,1.1,60.0,36.0,4.9,1
1.32,32.0,0.9,66.0,44.0,9.7,1
1.25,28.0,0.9,68.0,44.0,7.2,1
1.11,24.0,0.8,67.0,37.0,7.2,1
0.9,22.0,0.8,65.0,35.0,9.1,1
0.81,20.0,0.8,62.0,36.0,8.1,1
0.73,20.0,0.9,64.0,36.0,9.3,1
0.92,21.0,0.9,65.0,35.0,7.2,1
1.18,22.0,1.0,64.0,36.0,5.5,1
1.47,23.0,1.2,67.0,38.0,6.5,1
1.97,33.0,2.2,79.0,44.0,9.3,1
1.57,41.0,8.5,97.0,53.0,7.0,1
1.52,50.0,16.0,105.0,55.0,6.1,2
1.06,42.0,27.0,98.0,50.0,5.7,1
0.57,23.0,49.0,82.0,45.0,3.6,1
0.63,22.0,65.0,79.0,43.0,3.8,1
0.66,23.0,64.0,97.0,50.0,4.4,1
0.66,24.0,71.0,103.0,52.0,5.0,2
0.67,27.0,63.0,100.0,48.0,4.9,1
0.63,22.0,54.0,95.0,47.0,4.8,1
0.67,22.0,46.0,82.0,43.0,3.0,1
0.98,29.0,35.0,78.0,42.0,2.4,1
0.87,31.0,29.0,90.0,51.0,1.8,1
0.67,22.0,35.0,89.0,49.0,1.5,1
0.64,22.0,27.0,61.0,38.0,1.1,1
0.55,18.0,28.0,31.0,20.0,0.9,0
0.44,12.0,36.0,16.0,7.0,0.7,0
0.4,8.6,44.0,18.0,7.0,0.7,0
0.36,7.8,48.0,37.0,15.0,2.0,0
0.4,8.6,47.0,55.0,28.0,3.3,1
0.41,8.0,47.0,66.0,36.0,3.5,1
0.41,8.2,46.0,71.0,38.0,3.4,1
0.45,12.0,38.0,76.0,39.0,5.4,1
0.55,19.0,29.0,82.0,38.0,4.4,1
0.87,26.0,21.0,70.0,35.0,5.1,1
0.96,29.0,19.0,51.0,29.0,4.0,1
0.86,30.0,20.0,42.0,25.0,3.5,0
0.79,24.0,23.0,33.0,14.0,1.5,0
0.75,23.0,24.0,27.0,15.0,1.3,0
0.75,24.0,24.0,23.0,15.0,1.4,0
0.77,27.0,23.0,27.0,17.0,1.5,0
0.81,29.0,21.0,28.0,15.0,1.9,0
0.92,31.0,18.0,28.0,15.0,3.1,0
0.84,28.0,21.0,31.0,17.0,4.1,0
0.8,27.0,21.0,27.0,15.0,2.1,0
0.59,23.0,25.0,20.0,13.0,1.9,0
0.52,20.0,28.0,13.0,9.0,1.7,0
0.49,18.0,28.0,12.0,4.0,1.9,0
0.42,16.0,30.0,12.0,4.0,2.8,0
0.32,10.0,36.0,16.0,10.0,4.7,0
0.27,8.2,38.0,13.0,11.0,4.6,0
0.25,7.0,39.0,7.0,6.0,3.6,0
0.23,5.5,40.0,5.0,1.0,2.3,0
0.21,5.2,40.0,6.0,1.0,1.7,0
0.23,7.3,37.0,7.0,1.0,2.3,0
0.31,13.0,31.0,9.0,2.0,1.8,0
0.6,21.0,24.0,13.0,4.0,1.6,0
0.71,24.0,21.0,17.0,7.0,2.0,0
0.57,23.0,23.0,16.0,10.0,2.0,0
0.48,21.0,24.0,18.0,11.0,2.0,0
0.52,24.0,22.0,26.0,10.0,2.4,0
0.51,21.0,24.0,27.0,7.0,3.7,0
0.44,20.0,25.0,17.0,8.0,4.2,0
0.5,24.0,21.0,12.0,4.0,6.5,0
0.5,25.0,19.0,13.0,4.0,7.9,0
0.57,30.0,17.0,16.0,10.0,10.0,0
0.74,35.0,10.0,24.0,12.0,13.0,0
0.85,34.0,9.8,29.0,14.0,7.9,0
1.16,41.0,3.6,23.0,18.0,7.1,0
1.35,42.0,1.0,23.0,18.0,3.5,0
0.86,31.0,7.7,23.0,12.0,2.7,0
0.97,32.0,7.7,20.0,10.0,2.4,0
0.52,20.0,22.0,15.0,10.0,2.1,0
0.32,12.0,30.0,10.0,5.0,4.1,0
0.41,17.0,21.0,9.0,8.0,2.1,0
0.27,8.9,31.0,7.0,10.0,1.6,0
0.23,6.9,33.0,9.0,4.0,1.5,0
0.22,4.9,36.0,7.0,4.0,1.4,0
0.24,5.8,37.0,7.0,4.0,1.5,0
0.34,15.0,28.0,9.0,4.0,1.4,0
0.59,26.0,20.0,7.0,5.0,1.6,0
0.83,34.0,14.0,12.0,6.0,1.8,0
0.58,26.0,22.0,13.0,5.0,2.1,0
0.49,22.0,25.0,17.0,6.0,2.3,0
0.48,22.0,25.0,26.0,10.0,5.1,0
0.51,23.0,24.0,27.0,10.0,4.9,0
0.51,23.0,24.0,24.0,12.0,3.6,0
0.56,27.0,20.0,26.0,8.0,3.5,0
0.57,28.0,19.0,21.0,6.0,2.4,0
0.57,28.0,19.0,16.0,10.0,2.3,0
0.8,34.0,12.0,18.0,11.0,2.4,0
0.93,35.0,11.0,21.0,9.0,2.3,0
0.75,30.0,17.0,15.0,5.0,2.5,0
0.58,25.0,22.0,15.0,4.0,3.2,0
0.54,23.0,23.0,16.0,3.0,6.0,0
0.53,22.0,25.0,13.0,5.0,6.2,0
0.49,20.0,25.0,13.0,6.0,4.6,0
0.46,16.0,28.0,18.0,6.0,1.9,0
0.32,7.9,37.0,17.0,8.0,1.8,0
0.29,6.9,37.0,12.0,7.0,1.8,0
0.3,8.5,32.0,18.0,9.0,1.7,0
0.27,6.2,36.0,23.0,9.0,1.8,0
0.31,9.6,33.0,17.0,6.0,1.8,0
0.31,12.0,34.0,13.0,5.0,1.7,0
0.4,14.0,32.0,11.0,9.0,1.9,0
0.43,17.0,30.0,15.0,10.0,3.1,0
0.43,18.0,30.0,23.0,10.0,3.5,0
0.44,18.0,30.0,31.0,13.0,3.8,0
0.4,16.0,32.0,32.0,14.0,5.1,0
0.51,21.0,27.0,33.0,13.0,5.5,0
0.45,19.0,29.0,39.0,14.0,4.5,0
0.45,21.0,27.0,37.0,15.0,4.8,0
0.49,23.0,25.0,29.0,11.0,2.1,0
0.48,22.0,25.0,24.0,6.0,1.9,0
0.56,23.0,24.0,23.0,7.0,2.0,0
0.52,22.0,25.0,23.0,7.0,3.0,0
0.5,23.0,24.0,26.0,9.0,4.7,0
0.45,20.0,26.0,28.0,14.0,4.9,0
0.46,19.0,27.0,24.0,16.0,2.8,0
0.52,20.0,26.0,20.0,16.0,2.0,0
0.38,14.0,33.0,18.0,15.0,2.1,0
0.34,11.0,35.0,16.0,14.0,1.8,0
0.32,8.9,36.0,17.0,10.0,1.6,0
0.29,7.7,37.0,17.0,8.0,1.5,0
0.26,6.3,37.0,15.0,8.0,1.5,0
0.25,5.6,38.0,20.0,7.0,1.6,0
0.28,7.8,36.0,24.0,9.0,1.6,0
0.36,14.0,31.0,22.0,10.0,1.8,0
0.44,16.0,29.0,24.0,10.0,2.2,0
0.45,17.0,29.0,24.0,13.0,4.1,0
0.46,15.0,32.0,16.0,11.0,3.3,0
0.46,14.0,33.0,15.0,11.0,5.6,0
0.46,13.0,37.0,20.0,13.0,5.3,0
0.56,16.0,45.0,23.0,15.0,4.6,0
0.52,18.0,34.0,34.0,18.0,3.6,0
0.41,11.0,35.0,39.0,20.0,2.0,0
0.41,13.0,34.0,28.0,13.0,2.6,0
0.49,17.0,28.0,21.0,10.0,2.6,0
0.64,26.0,19.0,26.0,18.0,2.8,0
0.7,29.0,12.0,32.0,18.0,3.1,0
0.77,31.0,5.9,37.0,15.0,3.7,0
0.83,32.0,2.8,37.0,17.0,2.9,0
0.88,31.0,9.0,35.0,20.0,2.9,0
1.14,39.0,5.7,40.0,20.0,3.1,0
0.46,16.0,28.0,39.0,18.0,3.0,0
0.42,17.0,25.0,37.0,18.0,2.7,0
0.47,17.0,23.0,37.0,25.0,2.3,0
0.47,18.0,16.0,43.0,28.0,2.9,0
0.48,18.0,14.0,51.0,22.0,2.7,1
0.48,18.0,14.0,53.0,25.0,2.9,1
0.38,11.0,22.0,54.0,30.0,2.7,1
0.52,20.0,12.0,59.0,30.0,4.2,1
0.69,21.0,15.0,71.0,33.0,3.6,1
0.73,18.0,22.0,68.0,31.0,2.2,1
0.66,22.0,19.0,60.0,26.0,2.4,1
0.63,22.0,11.0,45.0,18.0,1.9,0
0.66,22.0,12.0,33.0,15.0,1.8,0
0.63,19.0,25.0,35.0,13.0,1.6,0
0.61,21.0,36.0,46.0,16.0,1.8,0
0.59,23.0,39.0,56.0,25.0,1.8,1
0.47,19.0,45.0,50.0,20.0,1.6,0
0.48,20.0,43.0,42.0,17.0,1.5,0
0.54,23.0,39.0,38.0,15.0,1.4,0
0.54,22.0,40.0,37.0,15.0,1.6,0
0.49,20.0,40.0,39.0,13.0,2.0,0
0.42,19.0,40.0,39.0,12.0,2.8,0
0.45,21.0,37.0,38.0,12.0,2.7,0
0.43,19.0,40.0,44.0,14.0,2.2,0
0.3,11.0,49.0,50.0,17.0,1.3,0
0.27,7.7,56.0,56.0,22.0,1.2,1
0.26,7.2,56.0,61.0,26.0,1.7,1
0.24,6.5,55.0,66.0,25.0,2.1,1
0.22,4.7,53.0,70.0,22.0,1.4,1
0.2,4.6,50.0,61.0,19.0,1.5,1
0.22,7.1,47.0,56.0,19.0,2.2,1
0.31,17.0,38.0,62.0,23.0,2.8,1
0.58,25.0,28.0,66.0,23.0,2.1,1
0.75,32.0,21.0,66.0,30.0,2.7,1
0.51,29.0,25.0,70.0,32.0,3.6,1
0.44,25.0,29.0,70.0,27.0,2.1,1
0.46,24.0,29.0,67.0,31.0,2.0,1
0.48,22.0,31.0,79.0,33.0,3.7,1
0.44,20.0,33.0,87.0,36.0,2.7,1
0.48,24.0,29.0,81.0,37.0,4.4,1
0.5,26.0,25.0,77.0,39.0,4.6,1
0.51,26.0,25.0,68.0,39.0,4.3,1
0.61,27.0,25.0,57.0,31.0,3.4,1
0.64,27.0,24.0,53.0,30.0,3.9,1
0.54,24.0,29.0,46.0,31.0,2.6,0
0.48,21.0,31.0,38.0,25.0,1.7,0
0.48,22.0,32.0,33.0,22.0,1.7,0
0.41,19.0,34.0,28.0,19.0,1.7,0
0.29,12.0,43.0,24.0,16.0,1.6,0
0.25,8.5,43.0,22.0,15.0,1.7,0
0.21,5.7,50.0,16.0,11.0,1.7,0
0.2,6.8,44.0,15.0,11.0,1.5,0
0.19,4.1,47.0,18.0,9.0,1.6,0
0.19,4.6,45.0,17.0,10.0,1.6,0
0.2,8.4,39.0,11.0,8.0,1.6,0
0.27,17.0,31.0,11.0,5.0,1.8,0
